player_name,player_team,player_net_rating,player_eff_fg_pct,player_true_shooting_pct,player_usage_rate,player_impact_estimate
jrsmith,CLE,3.3,47.9,48.4,14.5,4.6
deandreliggins,DAL,2.8,44.7,47.6,11.6,4.6
kylesingler,OKC,0.8,45.2,48.6,11.3,4.6
stephenzimmerman,ORL,-18.1,32.3,34.6,14.9,4.6
danielochefu,WAS,-20.5,44.4,43.0,19.0,4.5
paulpierce,LAC,2.4,50.7,53.5,14.9,4.4
wayneselden,MEM,-7.4,49.1,52.5,16.2,4.4
ajhammons,DAL,-0.6,46.4,47.2,16.7,4.3
brandonrush,MIN,-0.8,49.2,50.5,9.7,4.3
semajchriston,OKC,-6.5,37.2,38.7,12.7,4.2
garypaytonii,MIL,-26.5,38.6,41.3,16.2,4.1
cameronpayne,CHI,-8.7,40.2,40.7,21.5,4.1
milesplumlee,CHA,-5.9,47.8,51.8,13.1,4.0
darrunhilliard,DET,-0.1,42.1,45.9,19.6,3.9
justinharper,PHI,-18.0,50.0,50.0,21.4,3.9
damjanrudez,ORL,-17.3,46.6,46.6,13.8,3.6
kylewiltjer,HOU,-35.9,42.9,43.7,18.7,3.3
norriscole,OKC,-6.4,33.7,38.1,22.0,3.3
draganbender,PHX,-2.0,44.1,44.0,14.8,3.3
ronnieprice,PHX,-12.8,22.9,27.2,8.7,3.2
andrewnicholson,BKN,-17.6,41.0,42.7,17.8,3.1
mettaworldpeace,LAL,-17.7,34.6,38.0,22.5,2.9
stevenovak,MIL,-1.6,35.7,35.7,16.9,2.8
jaredsullinger,TOR,-15.8,35.1,36.6,20.4,2.7
jakelayman,POR,-0.4,36.5,40.4,19.1,2.5
alananderson,LAC,-10.8,46.3,49.4,14.2,2.3
cjwilcox,ORL,-13.1,30.6,32.9,14.9,2.2
georgesniang,IND,-5.3,26.4,28.5,18.9,2.0
axeltoupane,NOP,-6.8,61.1,61.1,8.6,2.0
damianjones,GSW,-14.9,50.0,46.6,13.8,1.6
jordanhill,MIN,13.9,38.5,43.2,18.0,1.5
greivisvasquez,BKN,-18.7,31.3,37.6,11.0,0.9
alonzogee,DEN,1.4,21.4,30.6,10.8,0.8
mannyharris,DAL,-51.1,20.0,23.9,29.4,0.6
aaronharrison,CHA,-18.6,0.0,10.2,14.2,0.0
danuelhouse,WAS,0.0,0.0,0.0,0.0,0.0
rjhunter,CHI,-57.8,0.0,0.0,4.2,0.0
lamarpatterson,ATL,16.8,23.3,27.6,23.4,-0.4
isaiahtaylor,HOU,-14.6,14.3,19.0,6.5,-1.3
diamondstone,LAC,-58.7,23.1,33.9,32.4,-1.4
miketobey,CHA,-27.3,25.0,25.0,10.5,-1.6
michaelgbinije,DET,-1.8,10.0,18.4,15.7,-2.7
elijahmillsap,PHX,-1.8,14.3,19.0,19.9,-3.6
garyneal,ATL,-18.0,0.0,22.8,20.1,-4.4
patriciogarino,ORL,-21.1,0.0,0.0,10.3,-4.9
larrysanders,CLE,-7.2,25.0,41.0,22.4,-5.6
benbentil,DAL,-44.0,0.0,0.0,18.4,-6.1
